LIPIDS,Mock_0hr_M_1_001,Mock_0hr_M_2_087,Mock_0hr_M_3_045,Mock_0hr_M_4_101,Mock_0hr_M_5_109,Mock_3hr_M_1_035,Mock_3hr_M_2_003,Mock_3hr_M_3_074,Mock_3hr_M_4_013,Mock_3hr_M_5_100,Mock_7hr_M_1_018,Mock_7hr_M_2_038,Mock_7hr_M_3_086,Mock_7hr_M_4_119,Mock_7hr_M_5_076,Mock_12hr_M_1_110,Mock_12hr_M_2_002,Mock_12hr_M_3_075,Mock_12hr_M_4_054,Mock_12hr_M_5_090,Mock_18hr_M_1_082,Mock_18hr_M_2_037,Mock_18hr_M_3_043,Mock_18hr_M_4_115,Mock_18hr_M_5_007,Mock_24hr_M_1_069,Mock_24hr_M_2_081,Mock_24hr_M_3_060,Mock_24hr_M_4_004,Mock_24hr_M_5_111,FM_0hr_M_1_099,FM_0hr_M_2_073,FM_0hr_M_3_011,FM_0hr_M_4_027,FM_0hr_M_5_051,FM_3hr_M_1_107,FM_3hr_M_2_044,FM_3hr_M_3_080,FM_3hr_M_4_012,FM_3hr_M_5_049,FM_7hr_M_1_046,FM_7hr_M_2_070,FM_7hr_M_3_010,FM_7hr_M_4_088,FM_7hr_M_5_097,FM_12hr_M_1_031,FM_12hr_M_2_094,FM_12hr_M_3_068,FM_12hr_M_4_117,FM_12hr_M_5_028,FM_18hr_M_1_103,FM_18hr_M_2_093,FM_18hr_M_3_056,FM_18hr_M_4_019,FM_18hr_M_5_084,FM_24hr_M_1_114,FM_24hr_M_2_030,FM_24hr_M_3_091,FM_24hr_M_4_067,FM_24hr_M_5_041,AH1_0hr_M_1_089,AH1_0hr_M_2_039,AH1_0hr_M_3_098,AH1_0hr_M_4_006,AH1_0hr_M_5_014,AH1_3hr_M_1_022,AH1_3hr_M_2_059,AH1_3hr_M_3_083,AH1_3hr_M_4_106,AH1_3hr_M_5_116,AH1_7hr_M_1_020,AH1_7hr_M_2_061,AH1_7hr_M_3_120,AH1_7hr_M_4_047,AH1_7hr_M_5_050,AH1_12hr_M_1_029,AH1_12hr_M_2_036,AH1_12hr_M_3_085,AH1_12hr_M_4_108,AH1_12hr_M_5_066,AH1_18hr_M_1_025,AH1_18hr_M_2_077,AH1_18hr_M_3_113,AH1_18hr_M_4_040,AH1_18hr_M_5_064,AH1_24hr_M_1_017,AH1_24hr_M_2_092,AH1_24hr_M_3_063,AH1_24hr_M_4_112,AH1_24hr_M_5_057,691_0hr_M_1_062,691_0hr_M_2_015,691_0hr_M_3_095,691_0hr_M_4_032,691_0hr_M_5_058,691_3hr_M_1_023,691_3hr_M_2_021,691_3hr_M_3_118,691_3hr_M_4_034,691_3hr_M_5_065,691_7hr_M_1_016,691_7hr_M_2_055,691_7hr_M_3_078,691_7hr_M_4_026,691_7hr_M_5_102,691_12hr_M_1_052,691_12hr_M_2_008,691_12hr_M_3_005,691_12hr_M_4_072,691_12hr_M_5_105,691_18hr_M_1_042,691_18hr_M_2_096,691_18hr_M_3_053,691_18hr_M_4_009,691_18hr_M_5_079,691_24hr_M_1_104,691_24hr_M_2_071,691_24hr_M_3_033,691_24hr_M_4_024,691_24hr_M_5_048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cer(d18:0/16:0),17.052,17.350,16.243,16.670,16.832,16.901,17.380,17.366,17.120,17.044,17.190,17.134,16.539,16.881,16.464,17.319,17.104,16.910,16.474,17.070,16.480,17.044,16.682,16.406,16.843,16.867,16.878,16.997,16.781,17.077,16.470,17.262,16.735,16.531,16.660,17.047,17.190,17.043,16.903,17.015,16.015,16.521,16.616,16.085,16.243,16.315,16.260,16.170,16.451,15.956,16.818,16.602,17.197,16.849,16.949,17.189,17.522,17.472,17.556,17.629,17.191,16.859,15.860,16.840,16.624,16.886,16.794,17.070,17.303,17.128,16.882,16.700,16.685,16.184,16.243,15.871,16.589,16.730,16.122,16.682,17.085,17.482,16.676,17.491,17.046,17.822,16.399,17.404,17.138,17.905,16.467,16.888,16.481,15.787,15.954,17.462,17.172,17.395,17.046,16.718,16.693,16.401,16.414,15.914,16.535,15.858,16.200,16.025,15.930,15.697,16.370,16.484,16.761,15.835,16.943,16.886,16.941,16.849,17.086,16.947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cer(d18:0/24:0),12.884,13.305,14.087,14.844,14.642,15.003,15.075,14.975,14.330,14.693,14.270,13.815,14.245,14.164,14.212,14.044,14.079,13.807,14.003,14.349,14.286,14.587,14.224,13.414,14.237,14.346,14.569,14.584,14.062,13.268,13.765,14.103,13.649,13.937,13.558,14.971,15.223,14.482,14.660,14.864,14.443,14.180,14.850,14.329,14.248,14.300,13.997,13.684,13.753,13.859,14.608,14.092,15.244,15.407,15.198,15.785,16.653,15.509,16.792,16.843,14.118,13.992,14.380,14.660,14.249,14.986,14.453,15.284,14.850,15.019,14.168,14.079,14.516,14.617,14.019,14.627,14.692,14.597,13.934,14.825,15.018,15.627,15.210,14.956,14.984,16.243,16.048,16.329,15.521,15.666,13.975,13.350,13.514,12.685,13.566,14.926,14.033,14.689,14.618,14.123,14.142,13.463,13.836,14.247,14.119,13.805,13.476,14.064,13.510,13.843,14.979,14.785,15.261,14.720,15.610,16.293,16.447,15.939,16.173,16.349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cer(d18:0/24:1),14.480,15.105,14.735,15.421,14.557,15.387,15.721,15.595,14.515,14.790,15.510,15.384,14.868,14.533,14.262,15.338,14.798,14.490,14.666,15.228,14.451,14.841,14.429,13.875,14.115,15.283,15.012,14.930,14.903,15.567,14.266,14.554,14.616,14.330,14.233,15.221,15.822,15.008,15.270,15.836,14.458,14.833,14.927,14.849,14.330,14.583,13.778,13.857,14.198,14.182,15.603,15.075,15.154,15.088,15.202,15.651,16.537,16.244,15.800,16.341,14.783,14.355,14.409,15.206,14.600,14.916,15.139,15.936,15.239,15.255,15.217,15.276,15.477,15.565,13.956,13.953,14.200,14.635,14.182,14.755,15.167,14.973,14.747,15.421,14.267,16.407,16.049,15.411,14.803,15.728,14.083,14.281,13.944,13.505,13.843,15.301,14.890,14.974,15.767,14.842,15.477,14.311,14.602,13.825,15.708,14.420,13.518,13.797,13.782,13.910,14.635,14.943,14.957,15.333,15.475,15.556,15.488,15.584,15.374,15.381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cer(d18:1/14:0),14.764,15.480,14.264,15.077,14.991,14.870,15.368,15.443,14.560,15.055,14.674,14.673,14.832,15.158,14.160,14.781,15.153,15.067,14.377,15.404,14.587,15.258,14.814,14.656,14.763,14.983,14.685,14.469,14.774,14.908,14.746,15.343,15.312,14.612,14.327,14.751,15.277,14.770,14.617,14.975,13.867,14.277,14.536,14.184,13.646,14.793,14.162,14.208,14.706,14.068,14.411,14.400,14.206,13.763,14.246,13.248,14.262,13.896,13.784,14.153,15.501,14.595,14.576,15.076,14.690,14.533,15.021,15.389,15.160,15.266,14.633,14.733,15.269,14.951,14.341,13.913,14.511,14.683,13.786,15.031,14.401,14.693,13.422,14.980,14.012,14.900,14.535,14.228,14.300,15.054,14.625,14.907,14.400,13.465,13.858,15.273,14.491,14.846,14.733,14.281,14.677,14.302,14.295,13.552,14.498,14.296,13.723,14.022,13.812,13.918,13.217,13.836,13.746,13.792,13.858,13.015,13.484,13.091,13.122,13.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cer(d18:1/16:0),19.370,19.627,19.493,19.604,19.680,19.923,19.785,19.831,19.601,19.706,19.721,19.823,19.754,19.852,19.203,19.614,19.621,19.705,19.260,19.975,19.378,19.896,19.572,19.365,19.837,19.804,19.779,19.928,19.331,19.836,19.566,20.201,19.741,19.393,19.130,19.365,19.822,19.613,19.259,19.485,19.078,18.932,19.309,18.937,18.909,19.353,18.973,19.003,19.186,19.089,19.176,19.375,19.421,19.487,19.390,18.838,19.380,19.286,19.197,19.480,19.775,19.642,19.466,19.803,19.606,19.265,19.614,20.156,20.034,19.837,19.185,19.424,19.546,19.320,19.027,18.982,19.165,19.366,19.382,19.788,19.375,19.694,18.809,20.112,19.080,20.027,19.772,19.471,19.228,19.784,19.742,19.649,19.310,19.298,18.885,20.076,19.438,19.784,19.770,19.488,19.509,19.175,19.087,18.917,19.303,19.262,18.745,18.974,19.052,18.582,18.786,19.031,19.238,18.890,19.586,18.621,18.910,18.928,18.928,18.817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cer(d18:1/22:0),13.442,14.091,14.020,14.504,14.029,14.006,14.627,14.099,13.653,14.077,13.332,13.805,13.874,14.122,13.485,13.689,13.732,13.593,13.416,14.312,13.623,13.888,13.294,13.269,13.960,13.807,13.627,13.975,13.397,13.227,13.411,13.953,13.966,13.883,13.399,13.706,14.272,13.741,13.551,13.605,13.927,13.482,13.849,13.913,13.403,13.919,13.246,13.099,13.047,13.660,13.389,13.531,13.680,13.681,14.022,13.941,14.198,13.656,13.881,14.411,13.612,13.644,13.714,14.185,13.948,13.904,13.661,14.469,14.276,14.233,13.298,13.727,14.406,13.453,13.466,13.361,13.585,13.703,13.051,14.081,14.203,14.029,13.838,14.375,13.470,14.923,14.517,14.429,14.444,14.678,14.037,13.803,13.330,13.244,13.449,14.323,13.780,14.267,14.187,13.519,13.909,13.501,13.104,13.004,13.689,13.530,13.118,13.501,13.389,13.392,13.227,13.388,13.913,13.860,13.910,14.023,13.899,13.818,14.065,13.906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cer(d18:1/24:0),16.052,16.622,16.089,17.456,16.430,16.683,17.048,17.142,16.293,16.735,16.654,16.657,16.500,16.377,15.720,16.440,16.597,16.555,16.126,17.067,16.032,16.529,15.739,15.802,16.299,16.579,16.903,16.259,16.437,15.978,16.036,16.145,16.003,16.305,16.170,16.945,16.860,16.418,16.065,16.321,16.076,16.269,16.442,16.366,16.415,16.704,15.907,15.649,15.666,16.147,16.272,16.509,16.271,16.346,16.535,16.593,17.035,16.710,16.974,17.526,16.218,16.378,16.062,17.010,16.006,16.113,16.819,17.142,17.034,16.804,16.293,16.517,16.913,16.632,16.116,15.543,16.095,16.467,15.803,16.758,16.586,16.641,16.345,17.312,16.338,17.982,17.669,17.746,16.382,17.773,16.388,16.234,16.021,15.899,15.869,16.994,16.332,16.577,17.175,16.034,16.452,16.109,16.245,15.939,15.616,16.343,15.651,16.088,16.047,15.583,16.122,16.768,16.806,16.862,16.987,17.202,16.882,16.594,17.219,17.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cer(d18:1/24:1),17.799,18.166,17.394,18.045,17.370,18.009,18.121,18.286,17.507,17.709,17.856,17.812,17.549,17.638,17.579,17.763,17.925,17.273,17.452,17.960,17.213,17.497,17.292,17.414,17.818,18.020,17.757,17.966,17.780,18.127,16.715,17.685,17.537,16.925,17.408,17.660,18.174,17.398,17.553,18.034,17.105,17.275,17.383,17.375,17.102,17.310,16.517,16.499,16.386,16.962,17.688,17.382,17.784,17.565,17.441,17.163,17.739,17.620,17.359,17.787,17.563,17.465,17.440,17.833,17.471,17.606,17.380,18.262,18.093,18.046,17.880,17.557,18.107,17.401,16.983,16.439,17.032,17.164,16.703,17.398,17.390,17.534,17.310,17.954,17.460,18.497,17.959,17.743,17.820,18.288,17.399,16.977,16.772,16.741,16.882,17.879,17.099,17.551,18.229,17.362,17.659,17.245,17.045,16.590,17.760,16.927,16.515,16.742,16.574,16.669,17.101,17.107,17.414,17.610,17.666,17.474,17.457,16.600,17.434,17.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cer(d18:2/16:0),16.787,17.047,15.448,16.380,16.558,16.541,16.727,16.954,16.301,16.611,16.255,16.306,16.201,16.437,15.812,16.555,16.610,16.404,15.754,16.668,16.012,16.471,16.243,15.616,16.137,16.324,15.677,15.614,16.164,16.397,16.092,16.809,16.550,16.109,15.995,16.385,16.837,16.267,16.276,16.365,15.239,15.748,15.987,15.767,15.844,16.003,15.500,15.685,15.881,15.499,15.726,15.772,15.589,15.594,15.569,14.664,15.463,15.153,15.019,15.431,16.786,16.602,16.020,16.315,16.129,15.683,16.697,16.877,16.672,17.067,16.100,16.132,16.733,16.547,15.799,15.266,15.653,16.571,15.501,16.333,15.702,16.012,15.017,16.043,15.242,16.160,15.775,15.394,15.855,16.122,16.197,15.867,15.779,14.957,15.312,16.597,15.790,16.105,16.447,15.829,16.140,16.018,15.794,15.293,16.019,15.821,15.043,15.376,14.942,15.221,14.417,14.684,14.894,14.867,15.249,13.786,14.641,14.108,14.054,14.373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL(14:0/16:1/18:1/16:1),13.665,14.164,13.580,13.732,14.054,13.011,13.892,14.131,13.602,13.730,14.120,13.812,13.658,13.664,13.939,14.043,13.887,13.835,13.438,12.863,13.721,13.617,13.760,13.803,12.808,12.457,13.774,12.591,13.653,14.159,13.843,13.224,12.989,13.458,13.960,13.877,12.892,13.952,14.277,14.082,13.970,13.964,13.913,14.139,13.781,12.837,13.100,13.640,13.656,13.779,12.584,13.060,13.904,13.365,13.573,12.939,13.668,13.843,13.693,13.632,13.893,13.870,14.000,14.124,13.930,14.208,14.067,13.102,13.039,14.401,14.166,13.781,13.305,14.419,13.816,13.579,14.055,13.702,13.545,12.783,13.518,13.441,13.548,12.551,13.370,12.765,13.557,13.956,13.674,12.554,13.271,12.944,14.396,14.160,13.954,12.895,13.413,14.003,13.230,14.126,12.952,13.546,13.921,13.504,12.860,12.961,13.817,13.860,13.663,13.764,13.543,12.814,13.871,13.319,14.099,13.452,13.627,13.613,13.748,13.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
