LIPID,Mock_0hr_M_1_001,Mock_0hr_M_2_087,Mock_0hr_M_3_045,Mock_0hr_M_4_101,Mock_0hr_M_5_109,Mock_3hr_M_1_035,Mock_3hr_M_2_003,Mock_3hr_M_3_074,Mock_3hr_M_4_013,Mock_3hr_M_5_100,Mock_7hr_M_1_018,Mock_7hr_M_2_038,Mock_7hr_M_3_086,Mock_7hr_M_4_119,Mock_7hr_M_5_076,Mock_12hr_M_1_110,Mock_12hr_M_2_002,Mock_12hr_M_3_075,Mock_12hr_M_4_054,Mock_12hr_M_5_090,Mock_18hr_M_1_082,Mock_18hr_M_2_037,Mock_18hr_M_3_043,Mock_18hr_M_4_115,Mock_18hr_M_5_007,Mock_24hr_M_1_069,Mock_24hr_M_2_081,Mock_24hr_M_3_060,Mock_24hr_M_4_004,Mock_24hr_M_5_111,FM_0hr_M_1_099,FM_0hr_M_2_073,FM_0hr_M_3_011,FM_0hr_M_4_027,FM_0hr_M_5_051,FM_3hr_M_1_107,FM_3hr_M_2_044,FM_3hr_M_3_080,FM_3hr_M_4_012,FM_3hr_M_5_049,FM_7hr_M_1_046,FM_7hr_M_2_070,FM_7hr_M_3_010,FM_7hr_M_4_088,FM_7hr_M_5_097,FM_12hr_M_1_031,FM_12hr_M_2_094,FM_12hr_M_3_068,FM_12hr_M_4_117,FM_12hr_M_5_028,FM_18hr_M_1_103,FM_18hr_M_2_093,FM_18hr_M_3_056,FM_18hr_M_4_019,FM_18hr_M_5_084,FM_24hr_M_1_114,FM_24hr_M_2_030,FM_24hr_M_3_091,FM_24hr_M_4_067,FM_24hr_M_5_041,AH1_0hr_M_1_089,AH1_0hr_M_2_039,AH1_0hr_M_3_098,AH1_0hr_M_4_006,AH1_0hr_M_5_014,AH1_3hr_M_1_022,AH1_3hr_M_2_059,AH1_3hr_M_3_083,AH1_3hr_M_5_116,AH1_7hr_M_1_020,AH1_7hr_M_2_061,AH1_7hr_M_3_120,AH1_7hr_M_4_047,AH1_7hr_M_5_050,AH1_12hr_M_1_029,AH1_12hr_M_2_036,AH1_12hr_M_3_085,AH1_12hr_M_4_108,AH1_12hr_M_5_066,AH1_18hr_M_1_025,AH1_18hr_M_2_077,AH1_18hr_M_3_113,AH1_18hr_M_4_040,AH1_18hr_M_5_064,AH1_24hr_M_1_017,AH1_24hr_M_2_092,AH1_24hr_M_3_063,AH1_24hr_M_4_112,AH1_24hr_M_5_057,691_0hr_M_1_062,691_0hr_M_2_015,691_0hr_M_3_095,691_0hr_M_4_032,691_0hr_M_5_058,691_3hr_M_1_023,691_3hr_M_2_021,691_3hr_M_3_118,691_3hr_M_4_034,691_3hr_M_5_065,691_7hr_M_1_016,691_7hr_M_2_055,691_7hr_M_3_078,691_7hr_M_4_026,691_7hr_M_5_102,691_12hr_M_1_052,691_12hr_M_2_008,691_12hr_M_3_005,691_12hr_M_4_072,691_12hr_M_5_105,691_18hr_M_1_042,691_18hr_M_2_096,691_18hr_M_3_053,691_18hr_M_4_009,691_18hr_M_5_079,691_24hr_M_1_104,691_24hr_M_2_071,691_24hr_M_3_033,691_24hr_M_4_024,691_24hr_M_5_048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cer(d18:0/16:0),17.358,16.876,16.333,16.957,16.917,16.039,16.636,17.223,16.586,16.828,16.860,16.221,15.815,16.416,15.924,17.036,16.508,16.028,15.987,16.295,15.554,15.986,15.863,16.044,16.942,16.091,15.745,15.739,16.110,15.917,16.312,16.276,17.160,16.466,16.185,16.586,16.636,16.507,16.713,16.492,15.623,15.828,16.338,15.359,15.589,15.471,15.278,15.599,15.582,15.427,16.488,16.432,16.664,16.833,16.301,16.490,17.104,16.462,16.458,16.322,16.643,17.356,16.532,16.732,16.171,16.300,16.209,17.100,16.944,15.956,15.976,16.384,15.703,15.016,15.760,15.894,16.502,15.713,16.326,16.204,16.015,16.541,16.805,16.762,16.914,16.257,16.131,15.876,17.079,16.179,16.276,16.028,16.181,15.984,16.511,16.401,16.411,16.936,16.580,15.666,15.914,15.472,15.393,16.174,15.807,15.568,15.037,15.475,15.294,15.559,15.763,15.894,16.283,16.224,15.936,15.959,16.622,16.157,16.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cer(d18:0/24:1),18.277,17.953,17.458,17.428,17.461,17.588,18.046,18.348,17.684,18.162,17.963,17.846,17.285,17.223,17.220,18.002,17.571,17.307,17.297,17.716,16.665,16.960,16.950,16.794,16.731,17.310,17.377,17.522,17.410,17.295,16.987,17.219,17.258,17.304,17.383,18.306,18.085,17.969,17.919,17.853,17.031,17.129,17.192,16.770,16.949,16.956,16.044,16.550,16.585,16.538,17.638,17.734,17.776,17.999,17.674,18.467,18.269,18.618,18.459,18.577,17.226,16.836,17.367,17.582,17.149,17.674,17.851,17.902,17.895,17.758,17.761,17.580,17.483,16.938,16.369,16.760,17.091,16.894,16.795,17.312,16.961,17.896,17.872,17.408,18.239,17.972,17.699,17.648,18.544,16.486,16.614,16.572,17.100,16.637,17.725,17.624,17.543,17.851,17.673,17.173,17.130,17.180,17.004,17.082,16.551,16.254,16.100,16.452,16.430,17.101,17.263,17.524,16.953,17.623,17.931,17.984,17.973,17.791,18.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cer(d18:1/24:1),16.015,16.325,16.485,16.786,16.800,16.247,16.392,16.427,15.861,16.498,15.859,15.276,16.280,16.286,15.845,16.005,15.990,16.204,15.893,15.408,14.949,15.961,15.341,15.528,16.452,15.999,15.944,15.461,15.681,14.585,16.744,16.365,16.888,16.784,15.715,15.977,16.154,16.505,16.149,16.100,16.141,15.831,16.603,15.313,16.206,15.996,15.361,15.743,16.109,15.695,15.693,15.487,15.953,15.127,15.999,15.977,15.848,15.068,15.919,16.040,16.543,16.981,16.396,15.753,16.055,16.372,16.661,16.436,16.470,15.482,15.185,15.690,15.879,16.486,15.228,16.174,15.967,15.921,15.882,16.089,15.883,15.350,15.948,15.884,15.786,15.335,15.979,15.018,15.315,16.118,16.365,16.638,16.033,16.614,15.518,16.346,16.542,16.598,15.785,15.980,16.181,15.250,15.944,16.293,16.125,15.965,16.233,15.688,16.305,15.562,15.737,16.288,16.162,15.248,15.533,15.421,15.758,15.117,16.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CerH2O(d18:1/16:0),19.230,19.304,18.863,18.690,18.938,18.294,18.974,19.181,18.569,18.944,18.625,18.935,18.315,18.384,18.712,18.892,18.692,18.665,18.296,18.059,18.197,18.057,18.448,18.369,18.932,18.338,17.976,18.113,18.281,17.720,18.845,18.553,19.301,18.341,18.716,18.517,18.482,18.489,18.642,18.552,17.533,17.933,18.259,17.587,17.968,17.949,18.387,18.120,17.877,18.103,18.169,18.301,18.368,18.253,18.009,17.948,17.920,17.256,17.577,17.395,18.827,19.212,18.970,18.487,18.943,18.626,18.690,18.645,18.831,18.479,18.419,18.067,18.249,17.824,18.191,18.082,18.327,18.439,18.373,18.269,17.772,18.179,18.712,18.354,18.562,18.155,17.819,18.027,18.269,18.313,18.439,18.437,18.112,18.095,18.156,18.465,18.333,18.611,18.535,17.768,17.845,18.344,18.065,18.223,17.908,17.979,17.401,17.681,17.505,17.725,17.896,17.869,17.644,17.747,17.760,17.450,17.754,17.414,17.698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CerH2O(d18:1/24:0)_A,16.540,16.386,16.177,16.535,16.734,16.169,16.242,16.473,16.158,16.462,16.111,15.915,16.080,16.237,16.038,16.207,15.911,15.873,15.814,15.797,15.657,15.819,15.655,15.562,15.829,15.639,15.554,15.985,16.061,15.852,16.285,16.132,16.847,16.606,16.394,16.539,16.262,16.286,16.108,16.215,15.830,15.714,16.465,15.936,16.179,15.982,15.441,15.260,15.877,15.735,15.935,15.909,15.851,16.265,15.847,15.958,15.892,15.635,15.915,15.963,16.650,16.647,16.488,16.281,15.908,16.417,16.439,16.303,16.495,16.154,16.092,16.235,16.168,16.214,15.447,15.944,16.089,15.636,15.758,16.003,15.717,15.706,15.821,15.678,15.922,15.818,15.700,15.681,16.151,16.179,16.284,16.746,16.086,16.713,16.327,16.364,16.431,16.428,16.202,15.775,16.133,15.992,16.080,16.187,15.901,15.924,15.775,15.480,16.104,15.522,15.757,15.864,15.902,16.136,15.537,15.388,15.671,15.432,16.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CerH2O(d18:1/24:0)_B,19.155,18.891,18.708,18.741,19.431,18.593,19.351,18.833,18.690,19.013,18.197,18.229,18.599,18.529,18.162,18.496,18.317,18.528,18.338,18.607,17.889,18.336,17.797,17.841,18.249,17.824,18.493,18.393,17.978,17.762,18.386,18.621,18.660,18.740,18.321,19.005,18.704,18.938,18.224,18.527,18.418,18.168,18.301,18.088,18.151,18.172,17.615,17.593,17.936,17.831,18.690,18.213,18.665,18.419,18.690,18.882,18.735,18.736,18.874,19.191,18.727,18.131,18.875,18.767,18.345,18.693,19.018,18.442,18.319,18.353,18.228,18.146,18.307,18.097,17.655,18.231,18.141,18.092,18.039,18.904,18.768,18.587,18.815,18.572,19.209,19.064,19.328,18.711,19.497,17.960,17.334,18.304,18.153,18.098,18.228,18.326,18.751,18.505,18.419,17.953,18.060,18.012,18.079,17.992,17.778,17.745,17.706,17.908,18.185,18.366,18.301,19.056,18.487,18.496,18.846,18.353,18.865,18.904,19.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CerH2O(d18:1/24:1),15.817,16.088,15.903,16.435,16.224,15.799,16.181,16.162,15.373,15.992,15.527,14.835,15.480,15.878,15.760,15.771,15.388,15.454,15.426,14.441,14.282,15.474,14.801,15.272,15.726,15.583,15.307,14.982,15.142,14.048,16.054,15.846,16.516,16.346,16.355,15.343,16.177,16.022,15.979,16.073,15.579,15.383,16.061,14.794,15.614,15.492,14.666,14.913,15.452,15.428,15.558,15.331,15.441,14.954,15.335,15.331,15.729,14.693,15.253,15.551,15.955,16.035,15.981,15.232,15.408,16.080,16.012,16.081,16.064,15.851,14.809,15.808,15.845,15.591,14.501,15.534,15.625,15.441,15.644,15.242,15.194,14.830,15.527,15.441,15.092,15.033,15.218,15.098,14.789,15.943,15.861,16.395,15.751,16.477,15.209,15.973,16.119,16.420,15.526,15.497,15.729,14.885,15.752,15.921,15.583,15.393,15.376,14.745,15.808,15.024,15.396,15.413,15.257,14.623,15.114,14.559,15.463,14.899,15.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CerH2O(d18:2/16:0),17.569,17.809,17.087,16.437,16.548,16.853,16.252,16.597,16.951,16.582,16.418,16.756,15.846,15.573,16.756,16.618,16.920,15.914,16.385,16.160,16.372,15.197,16.411,16.258,16.166,15.347,14.813,15.714,16.172,15.790,16.347,16.828,16.643,15.694,16.836,17.185,16.707,16.141,16.764,16.762,15.341,16.039,15.863,15.881,15.940,16.396,16.069,16.271,15.433,16.222,15.403,15.483,15.841,16.098,15.069,15.172,15.059,14.877,14.386,14.418,16.699,17.153,17.389,16.921,16.866,17.015,16.324,16.444,16.369,16.665,16.839,16.748,16.910,15.602,15.996,15.635,15.998,16.640,15.816,15.410,15.058,16.218,15.658,15.903,15.175,15.620,14.343,15.493,16.057,16.323,16.595,15.456,16.021,16.242,16.352,16.594,15.680,15.926,16.673,15.963,15.346,16.714,16.305,15.703,15.024,15.489,14.644,15.335,14.784,15.297,15.183,14.452,14.743,15.394,14.765,14.887,14.591,14.448,13.841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DG(14:0/16:0/0:0),16.332,16.699,16.387,15.519,16.156,14.653,15.732,16.552,16.201,16.155,16.773,16.087,16.347,16.412,17.081,16.933,17.129,16.475,16.893,16.675,16.732,16.726,16.844,17.338,17.271,16.332,16.414,16.867,17.518,16.688,16.499,16.738,17.068,16.529,16.965,15.994,16.288,16.130,17.011,16.750,15.366,15.720,16.095,15.307,16.877,16.692,16.277,16.385,16.480,17.011,16.778,16.986,15.762,16.915,16.496,16.941,16.645,16.138,15.889,16.124,16.529,16.709,15.943,16.297,16.346,16.395,16.050,16.461,16.505,17.024,16.077,16.346,16.701,16.205,16.346,16.348,16.764,17.135,16.507,16.665,16.240,16.825,16.563,17.234,16.157,16.401,16.324,16.719,16.288,16.616,16.390,16.234,16.645,17.143,16.848,17.314,16.695,16.812,16.447,16.659,16.675,16.393,17.225,16.891,16.855,17.288,16.668,17.004,16.661,17.136,17.489,16.554,17.161,16.940,16.686,16.116,16.799,16.147,16.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DG(14:0/18:1/0:0)_CoE,17.293,17.610,17.070,16.726,17.326,16.121,17.333,17.509,17.352,17.204,17.714,17.526,17.654,17.311,17.888,17.937,17.516,17.642,17.658,17.815,17.577,17.564,17.745,17.964,18.094,17.415,17.408,18.017,18.317,17.932,17.614,17.942,17.888,17.535,17.445,17.213,17.397,17.277,17.669,17.262,16.860,17.100,16.945,16.629,17.434,17.754,17.306,17.488,17.410,17.607,17.569,17.964,17.320,17.799,17.393,17.170,17.273,16.617,16.841,16.288,17.546,17.937,17.296,17.446,17.648,17.026,17.305,17.473,17.317,17.780,17.348,17.717,17.490,17.317,17.439,17.360,17.872,17.547,17.778,17.421,16.799,17.496,17.169,17.498,17.063,16.728,16.552,16.930,16.869,18.034,17.689,17.650,17.720,17.656,18.057,17.692,17.789,17.958,17.706,17.965,17.529,17.470,18.033,18.052,17.956,17.710,17.779,17.694,17.618,17.509,17.532,17.410,17.696,17.803,16.825,16.837,17.197,16.888,17.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DG(15:0/18:1/0:0)_CoE,16.043,15.570,15.083,14.955,15.363,14.765,15.436,15.883,15.264,15.224,15.002,15.097,15.145,15.474,15.468,15.327,14.927,15.119,14.955,15.563,15.036,15.368,15.180,15.141,15.096,15.156,15.011,15.525,15.500,15.555,15.645,15.881,15.973,15.754,15.608,15.498,15.490,15.369,15.300,15.553,14.524,14.845,14.764,14.679,15.177,15.292,14.833,14.947,14.543,15.501,15.029,15.115,14.386,15.435,14.664,14.880,14.897,14.926,14.584,14.712,15.604,15.483,14.915,15.467,15.478,15.095,15.396,15.697,15.755,15.297,15.062,15.507,15.213,14.962,14.822,14.614,15.358,15.047,15.039,14.716,14.585,14.932,14.996,14.660,14.745,15.083,14.513,15.186,15.251,15.729,15.621,15.515,15.791,15.565,16.065,15.524,15.570,15.675,15.837,15.444,15.069,15.220,15.726,15.625,15.247,15.094,14.682,15.127,14.910,14.794,14.882,14.682,15.113,15.437,15.002,14.595,14.828,14.190,14.591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DG(16:0/0:0/16:0),19.623,19.513,19.041,18.547,19.201,17.901,19.148,19.357,19.186,19.271,19.146,19.074,19.134,19.031,19.198,19.567,19.124,19.278,19.160,19.347,19.425,19.308,19.527,19.245,19.751,19.040,19.361,19.553,19.542,19.172,19.528,19.855,19.893,19.517,19.618,19.282,19.189,19.390,19.389,19.402,17.922,18.649,18.599,18.113,19.059,19.246,19.170,19.277,19.040,18.962,19.518,19.367,18.629,19.787,19.463,19.400,19.349,19.230,19.155,18.954,19.537,19.560,18.407,19.559,19.335,18.831,19.155,19.135,19.144,19.198,18.986,19.081,18.833,18.905,19.301,19.228,19.462,19.417,19.250,19.611,19.391,19.705,19.725,19.718,19.466,19.391,19.251,19.299,19.712,19.582,19.574,19.640,19.815,19.770,19.732,19.682,19.772,19.825,19.571,19.307,19.163,19.212,19.253,19.588,19.533,19.290,19.359,19.456,19.440,19.548,19.596,19.582,19.611,19.960,19.253,19.377,19.834,19.388,19.724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DG(16:0/16:1/0:0)_CoE,17.293,17.610,17.070,16.726,17.326,16.121,17.333,17.509,17.352,17.204,17.714,17.526,17.654,17.311,17.888,17.937,17.516,17.642,17.658,17.815,17.577,17.564,17.745,17.964,18.094,17.415,17.408,18.017,18.317,17.932,17.614,17.942,17.888,17.535,17.445,17.213,17.397,17.277,17.669,17.262,16.860,17.100,16.945,16.629,17.434,17.754,17.306,17.488,17.410,17.607,17.569,17.964,17.320,17.799,17.393,17.170,17.273,16.617,16.841,16.288,17.546,17.937,17.296,17.446,17.648,17.026,17.305,17.473,17.317,17.780,17.348,17.717,17.490,17.317,17.439,17.360,17.872,17.547,17.778,17.421,16.799,17.496,17.169,17.498,17.063,16.728,16.552,16.930,16.869,18.034,17.689,17.650,17.720,17.656,18.057,17.692,17.789,17.958,17.706,17.965,17.529,17.470,18.033,18.052,17.956,17.710,17.779,17.694,17.618,17.509,17.532,17.410,17.696,17.803,16.825,16.837,17.197,16.888,17.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DG(16:0/17:1/0:0)_CoE,16.043,15.570,15.083,14.955,15.363,14.765,15.436,15.883,15.264,15.224,15.002,15.097,15.145,15.474,15.468,15.327,14.927,15.119,14.955,15.563,15.036,15.368,15.180,15.141,15.096,15.156,15.011,15.525,15.500,15.555,15.645,15.881,15.973,15.754,15.608,15.498,15.490,15.369,15.300,15.553,14.524,14.845,14.764,14.679,15.177,15.292,14.833,14.947,14.543,15.501,15.029,15.115,14.386,15.435,14.664,14.880,14.897,14.926,14.584,14.712,15.604,15.483,14.915,15.467,15.478,15.095,15.396,15.697,15.755,15.297,15.062,15.507,15.213,14.962,14.822,14.614,15.358,15.047,15.039,14.716,14.585,14.932,14.996,14.660,14.745,15.083,14.513,15.186,15.251,15.729,15.621,15.515,15.791,15.565,16.065,15.524,15.570,15.675,15.837,15.444,15.069,15.220,15.726,15.625,15.247,15.094,14.682,15.127,14.910,14.794,14.882,14.682,15.113,15.437,15.002,14.595,14.828,14.190,14.591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DG(16:0/18:0/0:0),18.463,18.437,18.236,18.355,18.234,17.645,17.894,18.174,17.931,18.205,18.303,18.002,18.260,17.674,17.995,18.010,17.951,17.649,17.926,17.903,18.139,17.871,18.082,17.789,18.477,17.865,17.882,17.834,17.888,17.611,18.670,18.838,18.789,18.654,18.337,18.055,17.927,17.993,18.230,18.010,16.922,17.361,18.332,17.522,17.813,17.929,18.106,17.966,17.550,17.893,18.453,18.548,17.878,18.366,18.346,18.617,18.273,18.175,18.063,18.206,18.689,18.876,18.403,18.509,18.650,18.102,18.341,18.185,18.173,18.017,17.525,17.976,17.655,18.051,18.471,18.310,18.267,18.329,18.031,18.782,18.268,18.884,18.574,18.633,18.335,18.064,18.386,18.096,18.429,18.463,18.490,18.731,18.731,18.723,18.489,18.573,18.573,18.447,18.064,18.198,17.676,17.915,18.145,18.031,18.365,18.268,18.215,18.250,17.805,18.336,18.499,18.662,18.578,18.468,18.200,18.318,18.627,18.379,18.669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DG(16:0/20:1/0:0)_CoE,20.661,20.583,19.665,19.305,20.145,19.543,20.366,20.546,20.106,20.228,19.861,19.511,19.494,19.708,19.646,19.789,19.698,19.537,19.366,19.454,19.522,19.531,19.396,19.463,19.520,19.104,19.405,19.668,19.780,19.570,19.921,19.957,19.824,19.955,19.855,20.618,20.272,20.098,20.131,20.299,18.812,19.072,18.981,18.818,19.044,20.027,18.836,18.856,18.855,19.100,19.408,19.392,18.503,19.630,19.135,19.326,19.397,19.176,18.976,19.322,20.364,19.957,19.212,19.856,19.804,20.027,20.336,20.104,20.661,20.091,19.634,19.975,19.703,19.277,19.214,19.083,19.539,19.209,19.282,19.313,19.207,19.526,19.187,19.038,19.528,19.737,19.459,19.830,19.715,20.095,19.803,19.646,19.869,19.793,20.626,20.411,20.319,20.344,20.464,19.224,19.233,19.352,19.468,19.182,19.631,19.249,18.999,19.296,19.408,19.092,19.087,19.076,19.115,19.228,19.293,19.111,19.301,19.133,19.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DG(16:0/22:1/0:0)_CoE,17.699,17.484,16.725,16.895,17.276,16.740,17.135,17.411,17.028,17.215,16.781,16.446,16.742,16.850,16.756,16.780,16.538,16.513,16.482,16.680,16.911,17.023,16.912,16.882,16.672,16.169,16.753,16.855,17.037,16.840,17.433,17.560,17.300,17.360,17.590,17.673,17.291,17.251,17.119,17.490,16.235,16.257,16.076,16.114,16.596,17.421,16.518,16.483,16.308,16.507,16.798,16.958,16.365,17.100,16.548,16.514,16.518,16.373,16.290,16.529,17.706,17.214,17.009,17.353,17.180,16.859,17.554,17.252,17.292,16.915,16.796,16.802,16.904,16.637,16.321,16.401,16.690,16.471,16.470,16.429,16.351,16.661,16.444,16.244,16.402,16.523,16.484,16.610,16.814,17.597,17.625,17.589,17.516,17.325,17.805,17.431,17.682,17.345,17.662,16.703,16.585,16.777,16.985,16.615,17.017,16.705,16.582,17.011,16.944,16.489,16.398,16.643,16.470,16.857,16.184,16.359,16.379,16.310,16.527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
